OTU	710686226252_replicate1_S44_L001_001.fastq	710686226252_replicate2_S45_L001_001.fastq	710686226252_replicate3_S46_L001_001.fastq	710686226352_replicate1_S47_L001_001.fastq	710686226352_replicate2_S48_L001_001.fastq	710686226352_replicate3_S49_L001_001.fastq	710687421551_replicate1_S50_L001_001.fastq	710687421551_replicate2_S51_L001_001.fastq	710687421551_replicate3_S52_L001_001.fastq	710687421651_replicate1_S53_L001_001.fastq	710687421651_replicate2_S54_L001_001.fastq	710687421651_replicate3_S55_L001_001.fastq	710687421751_replicate1_S56_L001_001.fastq	710687421751_replicate2_S57_L001_001.fastq	710687421751_replicate3_S58_L001_001.fastq	710687421851_replicate1_S59_L001_001.fastq	710687421851_replicate2_S60_L001_001.fastq	710687421851_replicate3_S61_L001_001.fastq	710687421951_replicate1_S62_L001_001.fastq	710687421951_replicate2_S63_L001_001.fastq	710687421951_replicate3_S64_L001_001.fastq	NC200116070651_replicate1_S11_L001_001.fastq	NC200116070651_replicate2_S12_L001_001.fastq	NC200116070651_replicate3_S13_L001_001.fastq	Kingdom	Phylum	Class	Order	Family	Genus
Otu0001	3119	12264	13400	10613	10204	6576	322	278	318	708	12	12	124	94	147	4162	6612	7011	829	8	11	13422	13992	12786	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
Otu0002	41	350	137	6667	6772	3772	67	33	60	59	18	42	61	34	19	19	70	80	46	19	22	0	91	313	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus
Otu0003	3208	2390	1472	150	236	205	38	13	40	46	2	5	8	7	7	205	323	418	40	2	2	2105	1343	914	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionIII	FamilyI	Oscillatoria
Otu0004	31	1336	649	25	91	167	5	1	5	1	0	0	5	3	2	69	246	101	23	0	0	374	406	1438	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Undibacterium
Otu0005	53	32	55	0	0	0	0	0	0	0	0	0	1	0	0	25	15	47	17	0	0	269	48	7	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacteraceae_unclassified
Otu0006	34	98	133	0	13	7	0	3	0	9	3	0	0	0	0	2	24	13	3	0	0	0	72	92	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadales_unclassified	Sphingomonadales_unclassified
Otu0007	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	16	1	0	0	0	0	345	66	69	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracocccus
Otu0008	0	0	50	1	20	3	20	15	42	3	13	14	19	16	10	9	2	5	6	2	11	101	99	24	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella
Otu0009	0	0	0	0	3	19	0	0	1	0	0	0	0	0	0	1	0	9	1	0	0	147	92	128	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
Otu0010	0	0	61	12	32	26	0	0	1	12	0	0	2	0	1	35	48	27	3	0	1	9	101	17	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium_1
Otu0011	0	0	0	19	25	10	0	1	1	8	0	0	0	0	0	2	62	45	6	0	0	28	8	76	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified
Otu0012	0	0	0	5	2	0	26	7	30	14	21	27	15	5	21	4	3	5	19	5	10	1	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus
Otu0013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Altererythrobacter
Otu0014	0	112	37	0	0	5	0	0	0	0	0	0	0	0	0	0	42	10	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Turicella
Otu0015	18	53	13	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	99	16	3	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Micrococcus
Otu0016	0	97	28	0	48	12	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Kocuria
Otu0017	5	3	0	23	5	0	0	0	0	0	0	0	0	0	0	0	34	7	0	0	0	70	27	11	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter
Otu0018	0	2	2	2	0	0	14	2	15	14	20	18	22	9	6	9	3	3	10	10	14	0	0	0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Atopostipes
Otu0019	12	17	72	0	0	8	0	6	4	0	0	0	0	2	0	5	0	30	6	0	0	0	3	2	Bacteria	Actinobacteria	Actinobacteria	Actinobacteria_unclassified	Actinobacteria_unclassified	Actinobacteria_unclassified
Otu0020	2	35	30	3	15	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	16	44	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiales_unclassified	Burkholderiales_unclassified
